CODIGO_DEPARTAMENTO,NOMBRE_DEPARTAMENTO,NOMBRE_MUNICIPIO,CODIGO_MUNICIPIO,TIPO,LATITUD,LONGITUD
23,CÓRDOBA,SAN PELAYO,23686,Municipio,8.987777392,-75.90958771
23,CÓRDOBA,TIERRALTA,23807,Municipio,7.813896829,-76.16846678
23,CÓRDOBA,TUCHÍN,23815,Municipio,9.224630803,-75.54410593
23,CÓRDOBA,VALENCIA,23855,Municipio,8.219904128,-76.2213286
25,CUNDINAMARCA,AGUA DE DIOS,25001,Municipio,4.372744676,-74.67111051
25,CUNDINAMARCA,ALBÁN,25019,Municipio,4.891121638,-74.44278432
25,CUNDINAMARCA,ANAPOIMA,25035,Municipio,4.559962881,-74.5256953
25,CUNDINAMARCA,ANOLAIMA,25040,Municipio,4.789313614,-74.46194256
25,CUNDINAMARCA,ARBELÁEZ,25053,Municipio,4.232786985,-74.39576291
25,CUNDINAMARCA,BELTRÁN,25086,Municipio,4.791721105,-74.71491399
25,CUNDINAMARCA,BITUIMA,25095,Municipio,4.847821091,-74.52862766
25,CUNDINAMARCA,BOJACÁ,25099,Municipio,4.705576252,-74.3354077
25,CUNDINAMARCA,CABRERA,25120,Municipio,3.91861924,-74.44615606
25,CUNDINAMARCA,CACHIPAY,25123,Municipio,4.723063341,-74.45919528
25,CUNDINAMARCA,CAJICÁ,25126,Municipio,4.930402779,-74.02985115
25,CUNDINAMARCA,CAPARRAPÍ,25148,Municipio,5.381501399,-74.52123595
25,CUNDINAMARCA,CÁQUEZA,25151,Municipio,4.402259457,-73.94482435
25,CUNDINAMARCA,CARMEN DE CARUPA,25154,Municipio,5.338856556,-73.92614817
25,CUNDINAMARCA,CHAGUANÍ,25168,Municipio,4.95425175,-74.63090139
25,CUNDINAMARCA,CHÍA,25175,Municipio,4.857823671,-74.03809539
25,CUNDINAMARCA,CHIPAQUE,25178,Municipio,4.463746629,-74.04605246
25,CUNDINAMARCA,CHOACHÍ,25181,Municipio,4.578183896,-73.95290054
25,CUNDINAMARCA,CHOCONTÁ,25183,Municipio,5.118419271,-73.68068583
